name,gender
Jeffrey DeMunn,m
John Megna,m
Matthew Broderick,m
Ingrid Oliver,f
Gina Gillespie,f
Russell Crowe,m
Tatsuya Nakadai,m
Jesslyn Fax,f
Youssouf Wague,m
Allen Altman,m
Marc McClure,m
Sabrina Bisson,f
Will Sampson,m
Steven Bauer,m
Keenan Wynn,m
Ed O'Ross,m
Ryôsuke Kagawa,m
Jim Meskimen,m
Catherine Deneuve,f
Janet Leigh,f
Joseph Mazzello,m
Manning Redwood,m
Raymond Chandler,m
Angelo Novi,m
Daniel Cerqueira,m
Mahershala Ali,m
Chris Evans,m
William Shatner,m
Francesca De Sapio,f
Harrison Ford,m
Morgan Freeman,m
Max Kasch,m
Minoru Chiaki,m
Mark Ruffalo,m
Minoru Chiaki,m
Marilyn Monroe,f
Tim Holt,m
Tom Goodman-Hill,m
J.C. MacKenzie,m
Norbert Weisser,m
Randall Carver,m
Jason Bose Smith,m
Anne Jackson,f
David Schofield,m
Richard Alexander,m
Sandy Martin,f
Ed Bakey,m
Ben Kingsley,m
Cristian Valencia,m
Al Pacino,m
Stan Lee,m
Tom Hanks,m
Ray Walston,m
Abe Vigoda,m
Paula Malcomson,f
Woody Harrelson,m
Ji Dae-han,m
Charlie Manton,m
Kofi Siriboe,m
Danny Lloyd,m
Leland Harris,f
Marion Cotillard,f
Saori Hayami,f
Rudy Bond,m
Takashi Shimura,m
Crystal Lowe,f
Paul Dano,m
Bruce Willis,m
Tom Hardy,m
Eva Marie Saint,f
Darrell Britt-Gibson,m
Jennifer Connelly,f
Yūnosuke Itō,m
Andy Serkis,m
Oleg Yankovskiy,m
Minoru Chiaki,m
Maïwenn,f
Maggie Cheung,f
Frank Faylen,m
Paul Fix,m
Sam McDaniel,m
James Stewart,m
Theodor Loos,m
Anthony Hopkins,m
Liz May Brice,f
Jake Johnson,m
Marco Leonardi,m
Henry Bergman,m
Viola Davis,f
Ann Sheridan,f
Claudio Gioè,m
Christopher Lloyd,m
Gabriele Ferzetti,m
Thelma Ritter,f
Marjorie Bennett,f
Ritchie Coster,m
Anne Hathaway,f
Chin Han,m
Joan Allen,f
Regina Hall,f
Kang Ye-seo,f
Folco Lulli,m
Fred Gwynne,m
Scott Mann,m
Takeshi Katô,m
Johnny Seven,m
Jung Han-bi,f
Garrick Hagon,m
Lidia Vitale,f
Aaron McCusker,m
Yoshio Tsuchiya,m
Al Israel,m
Marian Collier,f
Joerg Stadler,m
John Hurt,m
Tiny Sandford,m
Mark Wahlberg,m
Keram Malicki-Sánchez,m
Alessio Boni,m
Annibale Ninchi,m
Damien Leake,m
Lionel Stander,m
Peter Cushing,m
Angela Jones,f
Daniel Radcliffe,m
Tom Hiddleston,m
Peter Bull,m
Ezra Buzzington,m
Kim Roe-ha,m
Bert Freed,m
Veronica Cartwright,f
Takako Fuji,f
Georgine Darcy,f
Michael Jackson,m
Yoo Yeon-seok,m
John Bartha,m
Kotono Mitsuishi,f
Joe Keaton,m
William Russ,m
Robin Bartlett,f
Chris Mulkey,m
Robert Blake,m
Lubna Azabal,f
Anthony Mackie,m
Al Ernest Garcia,m
Tamara Brown,f
Wesley Addy,m
Danny DeVito,m
Maria Michi,f
David Warshofsky,m
Collin Wilcox Paxton,f
Giuseppe Sillato,m
Sheryl Lee,f
Sian Brooke,f
Mitsunori Isaki,m
Rémy Girard,m
Leon Pownall,m
Alida Valli,f
Alexandra Rapaport,f
Frank DiLeo,m
Lee Van Cleef,m
Karl Urban,m
Lawrence Tierney,m
Caleb Landry Jones,m
Antonio Bravo,m
Kyôko Kagawa,f
Gina Mastrogiacomo,f
Jean-Philippe Baril-Guérard,m
Jack Lemmon,m
Matheus Abreu,m
Takashi Kobayashi,m
Michelle Pfeiffer,f
Mimmo Poli,m
Kathleen Byron,f
Adolphe Menjou,m
Georgia Backus,f
Andrew Kevin Walker,m
Kim Hae-sook,f
Jai West,m
Walter Santesso,m
Piper Perabo,f
Drewe Henley,m
Una Stubbs,f
Michèle Lituac,f
Victor Sjöström,m
Joy Page,f
Anatoliy Solonitsyn,m
Kamatari Fujiwara,m
Anthony Mackie,m
Nadji Jeter,m
Justin Mader,m
Ryou Narita,m
Tom Hanks,m
Johnathan Geare,m
Larry Holden,m
Thomas F. Wilson,m
Sei Hiraizumi,m
Teresa Palmer,f
Suzy Amis,f
Mark Boone Junior,m
Bette Davis,f
Omar Sy,m
Mort Mills,m
