name,gender
Al Ernest Garcia,m
Joseph Delteil,m
Tomoyuki Tanaka,m
Hannes Nikel,m
Buster Keaton,m
Laeta Kalogridis,f
Charlie Chaplin,m
John Huston,m
William Chang,m
Andrew Lowe,m
Lenny Abrahamson,m
Emma Thomas,f
Philip Smith,m
Lawrence B. Marcus,m
Jack Okey,m
Jean Constantin,m
Hilton A. Green,m
Sandy Reynolds-Wasco,f
Leon Chooluck,m
Hayao Miyazaki,m
George Lucas,m
Stanley Kubrick,m
John Wilcox,m
Ngila Dickson,f
Dean Riesner,m
Robert Ward,m
Mario Monicelli,m
Jon Favreau,m
George Schaefer,m
Stanley Kramer,m
Masaaki Endou,m
Krzysztof Kieślowski,m
Melanie Jones,f
Frances Goodrich,f
Masaru Satô,m
Emeric Pressburger,m
C.O. Erickson,m
Mark Robins,m
Rodrigo Teixeira,m
Caio Gullane,m
Michael Curtiz,m
Jane Rosenthal,f
Nizou Yamamoto,m
Michael McDonnell,m
Alan Silvestri,m
Michael Giacchino,m
Andrea Calderwood,f
Howard Shore,m
Ken Kesey,m
Sharmishta Roy,f
Javed Siddiqui,m
Jonathan Nolan,m
Ennio Morricone,m
Lee Smith,m
Agenore Incrocci,m
Giuseppe Tornatore,m
Xavier Dolan,m
Charlie Chaplin,m
Takeshi Seyama,m
Roberto Rossellini,m
Richard Francis-Bruce,m
Renzo Rossellini,m
Wally Pfister,m
Howard Feuer,m
Stanley Kubrick,m
Sandy Powell,f
Walter Murch,m
Diane Johnson,f
Federico Fellini,m
Riko Sakaguchi,f
John Alcott,m
Milena Canonero,f
Sam Spiegel,m
Tom Connors Jr.,m
Kearie Peak,f
Roman Polanski,m
Hugo Gurgel,m
Stuart Freeborn,m
Ray Lovejoy,m
Erich Kettelhut,m
David Wasco,m
Walter Hill,m
Sally Menke,f
Steven Spielberg,m
Andrew Gaskill,m
David Lynch,m
Barbara McLean,f
"George Tillman, Jr.",m
Ry Cooder,m
Emma Thomas,f
Lee Smith,m
Hirokazu Kore-eda,m
